datetime,aod_longitude,aod_latitude,station_longitude,station_latitude,AOD,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2025-05-03,106.5999984741211,-6.099998474121094,106.7525,-6.20737,0.9751999974250793,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.6500015258789,-6.099998474121094,106.7525,-6.20737,0.7057999968528748,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.69999694824219,-6.099998474121094,106.7525,-6.20737,0.63919997215271,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.75,-6.099998474121094,106.7525,-6.20737,0.6200000047683716,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.80000305175781,-6.099998474121094,106.7525,-6.20737,0.243599995970726,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.8499984741211,-6.099998474121094,106.7525,-6.20737,0.23659999668598175,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.9000015258789,-6.099998474121094,106.7525,-6.20737,0.5579999685287476,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.94999694824219,-6.099998474121094,106.7525,-6.20737,0.5740000009536743,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,107.0,-6.099998474121094,106.7525,-6.20737,0.5758000016212463,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.5999984741211,-6.150001525878906,106.7525,-6.20737,0.7242000102996826,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.6500015258789,-6.150001525878906,106.7525,-6.20737,0.8277999758720398,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.69999694824219,-6.150001525878906,106.7525,-6.20737,0.5676000118255615,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.75,-6.150001525878906,106.7525,-6.20737,0.6385999917984009,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.80000305175781,-6.150001525878906,106.7525,-6.20737,0.7645999789237976,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.8499984741211,-6.150001525878906,106.7525,-6.20737,0.6362000107765198,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.9000015258789,-6.150001525878906,106.7525,-6.20737,0.5997999906539917,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.94999694824219,-6.150001525878906,106.7525,-6.20737,0.6565999984741211,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,107.0,-6.150001525878906,106.7525,-6.20737,0.7203999757766724,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.5999984741211,-6.200004577636719,106.7525,-6.20737,0.6369999647140503,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.6500015258789,-6.200004577636719,106.7525,-6.20737,0.5424000024795532,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.69999694824219,-6.200004577636719,106.7525,-6.20737,0.774399995803833,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.75,-6.200004577636719,106.7525,-6.20737,0.5974000096321106,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.80000305175781,-6.200004577636719,106.7525,-6.20737,0.45159998536109924,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.8499984741211,-6.200004577636719,106.7525,-6.20737,0.5473999977111816,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.9000015258789,-6.200004577636719,106.7525,-6.20737,0.72079998254776,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.94999694824219,-6.200004577636719,106.7525,-6.20737,0.8219999670982361,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,107.0,-6.200004577636719,106.7525,-6.20737,0.4843999743461609,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.5999984741211,-6.25,106.7525,-6.20737,0.3481999933719635,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
2025-05-03,106.6500015258789,-6.25,106.7525,-6.20737,0.5753999948501587,33.4,25.0,28.9,40.5,25.0,32.6,24.1,76.1,4.3,33.33,14.0,19.1,46.2,,55.2,11.4,252.7,21.8,9.0
