latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-6.0999985,106.6,0.9048,7.0,1.6385999,7.0,,0.0,,0.0
-6.0999985,106.65,0.46699998,5.0,1.2449,5.0,,0.0,,0.0
-6.0999985,106.7,0.3818,3.0,1.3051,3.0,,0.0,,0.0
-6.0999985,106.75,0.3398,12.0,1.1762999,12.0,,0.0,,0.0
-6.0999985,106.8,0.092599995,4.0,1.237,4.0,,0.0,,0.0
-6.0999985,106.85,0.26299998,6.0,1.2254,6.0,,0.0,,0.0
-6.0999985,106.9,0.3354,8.0,1.2516999,8.0,,0.0,,0.0
-6.0999985,106.95,0.52059996,13.0,1.2473999,13.0,,0.0,,0.0
-6.0999985,107.0,0.798,11.0,1.0659,11.0,0.2724,1.0,,0.0
-6.1500015,106.6,0.58379996,5.0,1.4044,5.0,,0.0,,0.0
-6.1500015,106.65,0.2438,1.0,1.2414,1.0,,0.0,,0.0
-6.1500015,106.7,0.2022,8.0,1.2808,8.0,,0.0,,0.0
-6.1500015,106.75,0.2166,9.0,1.2253,9.0,,0.0,,0.0
-6.1500015,106.8,0.092,5.0,1.234,5.0,,0.0,,0.0
-6.1500015,106.85,0.189,4.0,1.2451999,4.0,,0.0,,0.0
-6.1500015,106.9,0.282,6.0,1.2916,6.0,,0.0,,0.0
-6.1500015,106.95,0.45799997,9.0,1.3341,9.0,,0.0,,0.0
-6.1500015,107.0,0.722,13.0,1.1652,13.0,0.2762,1.0,,0.0
-6.2000046,106.6,0.7676,3.0,1.3542999,3.0,,0.0,,0.0
-6.2000046,106.65,0.5452,6.0,1.1197,6.0,,0.0,,0.0
-6.2000046,106.7,0.40539998,7.0,1.1549,7.0,,0.0,,0.0
-6.2000046,106.75,0.2698,9.0,1.1935999,9.0,,0.0,,0.0
-6.2000046,106.8,0.1934,7.0,1.2682999,7.0,,0.0,,0.0
-6.2000046,106.85,0.3452,6.0,1.3172,6.0,,0.0,,0.0
-6.2000046,106.9,0.2208,3.0,1.2871,3.0,,0.0,,0.0
-6.2000046,106.95,0.5076,3.0,1.287,3.0,,0.0,,0.0
-6.2000046,107.0,0.8132,8.0,1.0846,8.0,0.2602,1.0,,0.0
-6.25,106.6,0.38259998,13.0,1.3488,13.0,,0.0,,0.0
-6.25,106.65,0.5714,5.0,1.2528,5.0,,0.0,,0.0
-6.25,106.7,0.5766,6.0,1.1087999,6.0,,0.0,,0.0
-6.25,106.75,0.4044,8.0,1.1996,8.0,,0.0,,0.0
-6.25,106.8,0.36319998,10.0,1.1659,10.0,,0.0,,0.0
-6.25,106.85,0.1708,8.0,1.2858,8.0,,0.0,,0.0
-6.25,106.9,0.34039998,10.0,1.2318,10.0,,0.0,,0.0
-6.25,106.95,0.2834,9.0,1.3067,9.0,,0.0,,0.0
-6.25,107.0,0.29979998,8.0,1.2613,8.0,,0.0,,0.0
-6.300003,106.6,0.47579998,13.0,1.4862,13.0,,0.0,,0.0
-6.300003,106.65,0.745,10.0,1.367,10.0,,0.0,,0.0
-6.300003,106.7,0.5478,10.0,1.3628,10.0,,0.0,,0.0
-6.300003,106.75,0.2828,10.0,1.2966,10.0,,0.0,,0.0
-6.300003,106.8,0.7204,10.0,1.2152,10.0,,0.0,,0.0
-6.300003,106.85,0.37899998,12.0,1.3089999,12.0,,0.0,,0.0
-6.300003,106.9,0.2068,5.0,1.3018999,5.0,,0.0,,0.0
-6.300003,106.95,0.31919998,6.0,1.4571999,6.0,,0.0,,0.0
-6.300003,107.0,0.2602,10.0,1.3224,10.0,,0.0,,0.0
-6.3499985,106.6,0.7388,17.0,1.283,17.0,,0.0,,0.0
-6.3499985,106.65,0.9704,14.0,1.2794,14.0,,0.0,,0.0
-6.3499985,106.7,0.43199998,13.0,1.438,13.0,,0.0,,0.0
-6.3499985,106.75,0.38939998,7.0,1.3482,7.0,,0.0,,0.0
-6.3499985,106.8,0.7118,9.0,1.112,9.0,,0.0,,0.0
-6.3499985,106.85,0.2522,7.0,1.3413999,7.0,,0.0,,0.0
-6.3499985,106.9,0.2832,9.0,1.5172,9.0,,0.0,,0.0
-6.3499985,106.95,0.2898,12.0,1.3131,12.0,,0.0,,0.0
-6.3499985,107.0,0.7484,8.0,1.421,8.0,,0.0,,0.0
-6.4000015,106.6,0.788,18.0,1.3292999,18.0,,0.0,,0.0
-6.4000015,106.65,1.101,18.0,1.3305,18.0,,0.0,,0.0
-6.4000015,106.7,0.7678,12.0,1.3067,12.0,,0.0,,0.0
-6.4000015,106.75,0.81259996,10.0,0.9833,10.0,,0.0,,0.0
-6.4000015,106.8,0.27539998,10.0,1.3448,10.0,,0.0,,0.0
-6.4000015,106.85,0.2992,12.0,1.2728,12.0,,0.0,,0.0
-6.4000015,106.9,0.3348,11.0,1.3686,11.0,,0.0,,0.0
-6.4000015,106.95,0.3766,16.0,1.2528,16.0,,0.0,,0.0
-6.4000015,107.0,0.6584,11.0,1.382,11.0,,0.0,,0.0
-6.4500046,106.6,0.7504,13.0,1.1794,13.0,,0.0,,0.0
-6.4500046,106.65,0.6544,19.0,1.3648,19.0,,0.0,,0.0
-6.4500046,106.7,0.75979996,8.0,1.2708,8.0,,0.0,,0.0
-6.4500046,106.75,0.8574,10.0,1.1427,10.0,,0.0,,0.0
-6.4500046,106.8,0.2012,4.0,1.2379999,4.0,,0.0,,0.0
-6.4500046,106.85,0.5688,8.0,1.5850999,8.0,,0.0,,0.0
-6.4500046,106.9,0.363,7.0,1.2242,7.0,,0.0,,0.0
-6.4500046,106.95,0.4542,10.0,1.3836,10.0,,0.0,,0.0
